id,source_id,destination_id,timestamp,created_at,transportation_mode,value
1,27,39,2025-01-14 18:05:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.0
2,34,56,2025-01-17 07:15:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.11698612029081289
3,56,6,2025-01-17 08:28:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.23153409090909108
4,7,43,2025-01-09 18:30:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.05666240175470658
5,55,38,2025-01-10 05:55:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.09735449735449714
6,38,6,2025-01-13 04:51:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.03287197231833905
7,55,38,2025-01-15 04:25:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.017026106696935016
8,38,6,2025-01-15 04:48:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.028258362168396577
9,19,51,2025-01-13 18:10:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.01731901627987524
10,55,38,2025-01-15 04:25:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.017026106696935016
11,38,6,2025-01-15 06:02:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.20876585928489033
12,47,11,2025-01-13 20:15:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.09710982658959555
13,11,12,2025-01-13 23:40:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.24933862433862433
14,3,58,2025-01-15 05:06:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.05112384310268829
15,58,6,2025-01-15 08:17:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.1287671232876714
16,7,43,2025-01-13 19:45:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.026513073688059878
17,38,6,2025-01-14 05:09:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.05247981545559391
18,19,51,2025-01-16 18:09:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.01812723703960288
19,55,38,2025-01-20 02:43:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.0
20,38,6,2025-01-20 04:44:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.027681660899653925
21,3,58,2025-01-23 06:24:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.2714852357866903
22,58,6,2025-01-23 08:49:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.13561643835616438
23,19,51,2025-01-21 18:10:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.018473617365200444
24,38,6,2025-01-23 06:12:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.26124567474048443
25,7,43,2025-01-21 19:45:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.030718595721338428
26,38,6,2025-01-23 06:07:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.23817762399077266
27,34,56,2025-02-03 03:44:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.006509078451524554
28,56,6,2025-02-03 08:05:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.2151988636363638
29,47,11,2025-01-24 23:07:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.33179190751445103
30,5,3,2025-01-26 01:45:00+00:00,2025-07-25T07:16:48+00:00,RAIL,0.00360830790894147
31,3,58,2025-01-28 04:40:00+00:00,2025-07-25T07:16:48+00:00,ROAD,0.023358307624504138
